USAF,WBAN,STATION NAME,CTRY,ST,RGN,CALL,LAT,LON,ELEV(M),BEGIN,END
699604,3145,YUMA MCAS,US,AZ,W,KNYL,32.65,-114.617,64.9,19870701,20091231
700001,26492,PORTAGE GLACIER,US,AK,W,PATO,60.784,-148.848,32.5,20060101,20220428
700001,99999,PORTAGE GLACIER,US,AK,W,PATO,60.783,-148.833,29.0,20040510,20051231
700197,26558,SELAWIK,US,AK,W,PASK,66.6,-159.986,7.6,20060101,20220428
700197,99999,SELAWIK,US,AK,W,PASK,66.617,-160.0,8.0,19940818,20051231
700260,27502,W POST-WILL ROGERS MEMORIAL A,US,AK,W,PABR,71.287,-156.739,8.1,19450101,20220428
700264,99999,SSDC,US,AK,W,,71.317,-155.217,0.0,19920807,19920807
700265,99999,BARROW W POST-W ROGERS ARPT,US,AK,W,,71.333,-156.633,4.0,19750228,19780130
700271,27506,BARROW POINT BARROW,US,AK,W,KPBA,71.333,-156.65,6.1,19740318,19750302
700300,27503,WAINWRIGHT AIRPORT,US,AK,W,PAWI,70.637,-160.013,12.5,19991102,20220428
700300,27508,WAINWRIGHT (DEW),US,AK,W,PAWI,70.617,-159.85,27.0,19730101,19991231
700300,99999,WAINWRIGHT (DEW),US,AK,W,PAWI,70.617,-159.85,27.0,20000101,20041231
700365,99999,SAGWON,US,AK,W,SAG,69.367,-148.7,198.0,20130106,20130106
700450,27512,LONELY,US,AK,W,LNI,70.917,-153.25,9.1,19730101,19890925
700450,99999,LONELY (DEW),US,AK,W,,70.917,-153.233,12.0,20020505,20060125
700630,27403,OLIKTOK POW 2,US,AK,W,POLI,70.5,-149.883,4.9,19730101,19990929
700630,99999,OLIKTOK LRRS,US,AK,W,POLI,70.5,-149.88,5.0,20030811,20030811
700631,25715,ATKA AIRPORT,US,AK,W,PAAK,52.22,-174.206,17.1,20060101,20130430
700631,99999,TATITLEK,US,AK,W,PAKA,60.872,-146.691,18.9,20040713,20051231
700632,26645,BUCKLAND AIRPORT,US,AK,W,PABL,65.983,-161.133,9.1,20060101,20220428
700632,99999,BUCKLAND,US,AK,W,PABL,65.983,-161.15,9.0,20040713,20051231
700633,99999,BEAUFORT SEA,US,AK,W,,0.0,0.0,-999.0,20130103,20130425
700634,27408,UGNU-KUPRAUK AIRPORT,US,AK,W,PAKU,70.331,-149.598,20.4,20060101,20220428
700634,99999,UGNU-KUPARUK AIRPORT,US,AK,W,PAKU,70.317,-149.583,20.0,19810220,20051231
700635,26465,GALBRAITH LAKE AIRPORT,US,AK,W,PAGB,68.479,-149.49,812.6,20060105,20220427
700635,99999,GALBRAITH LAKE,US,AK,W,PAGB,68.483,-149.483,814.0,19750108,20051229
700636,27405,PRUDHOE BAY,US,AK,W,PAUD,70.25,-148.333,14.0,19730101,19990614
700637,27406,DEADHORSE AIRPORT,US,AK,W,PASC,70.191,-148.48,17.7,19730101,20220428
700638,99999,FALSE PASS,US,AK,W,PAKF,54.85,-163.417,6.0,19730101,20220427
700639,99999,HAPPY VALLEY,US,AK,W,,69.167,-148.817,297.0,19740616,19780111
700860,27401,BARTER ISLAND AIRPORT,US,AK,W,PABA,70.134,-143.577,0.6,19471001,20220428
700860,99999,BARTER ISLAND,US,AK,W,PABA,70.133,-143.633,15.0,20000102,20041231
700863,99999,BARTER ISLAND LRRS,US,AK,W,PBTI,70.134,-143.577,1.5,19901104,19910621
700865,99999,BARTER ISLAND(AWOS),US,AK,W,,70.133,-143.583,2.0,19731207,19961009
700866,99999,CHALLENGE ISLAND,US,AK,W,,70.233,-146.5,-999.0,19750109,19810328
700867,99999,FRANKLIN BLUFFS,US,AK,W,,69.717,-148.683,108.0,19750108,19770816
700868,99999,ATIGUN,US,AK,W,,68.183,-149.417,1032.0,19750112,19750401
700869,99999,CHANDALAR SHELF,US,AK,W,5CD,68.067,-149.583,982.0,19750109,19780923
701040,26631,CAPE LISBURNE LRRS AIRPORT,US,AK,W,PALU,68.867,-166.133,4.9,20060101,20220428
701040,99999,CAPE LISBURNE AFS,US,AK,W,PALU,68.883,-166.133,3.0,19520829,20051231
701043,26623,POINT HOPE AIRPORT,US,AK,W,PAPO,68.35,-166.8,4.0,20060101,20220428
701043,99999,POINT HOPE AIRPORT,US,AK,W,PAPO,68.35,-166.8,4.0,19431001,20051231
701045,26649,RED DOG AIRPORT,US,AK,W,PADG,68.031,-162.903,296.9,20060103,20220427
701045,99999,RED DOG,US,AK,W,PADG,68.067,-162.833,297.0,19980226,20051230
701046,26418,CENTRAL AIRPORT,US,AK,W,PACE,65.567,-144.765,280.4,20020902,20130210
701160,26618,WALES,US,AK,W,,65.617,-168.05,5.0,19430701,19771221
701170,26634,TIN CITY LRRS AIRPORT,US,AK,W,PATC,65.563,-167.921,82.6,20060101,20220428
701170,99999,TIN CITY AFS,US,AK,W,PATC,65.567,-167.917,83.0,19530504,20051231
701175,99999,,US,AK,W,,,,,19740604,19740628
701190,99999,PORT CLARENCE CGS,US,AK,W,PAPC,65.254,-166.859,3.0,19730101,20220427
701195,26625,SHISHMAREF/NEW AIRPORT,US,AK,W,PASH,66.25,-166.089,2.1,20060101,20220428
701195,99999,SHISHMAREF,US,AK,W,PASH,66.25,-166.083,4.0,19831104,20051231
701196,102,BOB BARKER MEMORIAL AIRPORT,US,AK,W,PAIK,66.983,-160.433,51.2,20080822,20220428
701196,99999,BOB BAKER MEM,US,AK,W,PAIK,66.976,-160.437,50.6,19831222,19850630
701210,26624,POINT LAY LRRS AIRPORT,US,AK,W,PPIZ,69.733,-163.005,7.6,20060101,20220428
701210,26638,POINT LAY,US,AK,W,PPIZ,69.817,-162.917,6.0,19730101,19991231
701210,99999,POINT LAY,US,AK,W,PPIZ,69.817,-162.917,6.0,20000101,20051231
